id_det_tra,id_trayectoria,orden,fecha,longitud,latitud,distancia,duracion,velocidad,coordenadas,tipo_coordenada
4046,44,118,"2021-02-03 08:26:53-05",-79.882395,-2.126875,23.407,2.007,11.662,0101000020E6100000DAC9E02879F853C0A4703D0AD70301C0,V
27963,374,699,"2021-03-12 11:17:01-05",-79.949364,-2.124215,29.669,1.974,15.03,0101000020E6100000FCFF3861C2FC53C09161156F64FE00C0,V
62391,165,933,"2021-02-01 08:41:57.204-05",-79.881937,-2.137432,16.346,2.029,8.056,0101000020E61000007808E3A771F853C01764CBF2751901C0,V
24680,134,453,"2021-02-01 08:41:38.788-05",-79.84679,-2.07394,29.615,2.005,14.77,0101000020E61000001C25AFCE31F653C00FEECEDA6D9700C0,V
33596,386,377,"2021-03-15 05:53:35-05",-79.918447,-2.170153,18.969,2.001,9.479,0101000020E6100000FF06EDD5C7FA53C0C287122D795C01C0,R
51643,156,994,"2021-02-01 08:41:59.561-05",-79.886509,-2.148784,10.94,2.003,5.462,0101000020E610000005A73E90BCF853C0325871AAB53001C0,V
13327,124,1110,"2021-02-01 08:42:03.911-05",-79.893815,-2.167842,20.124,2.001,10.056,0101000020E6100000276BD44334F953C06F29E78BBD5701C0,V
56144,160,691,"2021-02-01 08:41:47.987-05",-79.872689,-2.10639,27.642,2.027,13.637,0101000020E61000000DA5F622DAF753C0B6F81400E3D900C0,V
17271,128,250,"2021-02-01 08:41:31.035-05",-79.89539,-2.131557,24.046,1.999,12.029,0101000020E610000097CADB114EF953C09E7AA4C16D0D01C0,V
42980,149,738,"2021-02-01 08:41:49.787-05",-79.866787,-2.11988,38.706,2.017,19.19,0101000020E610000045662E7079F753C04C8E3BA583F500C0,V
129447,221,733,"2021-02-01 08:41:49.596-05",-79.86765,-2.118299,41.038,2,20.519,0101000020E6100000F697DD9387F753C02F3201BF46F200C0,V
109258,204,961,"2021-02-01 08:41:58.309-05",-79.884219,-2.143445,9.883,2.009,4.919,0101000020E61000001EE0490B97F853C0A032FE7DC62501C0,V
17574,329,405,"2021-03-12 02:59:25-05",-79.865769,-2.121869,22.457,2.043,10.992,0101000020E6100000003961C268F753C0772B4B7496F900C0,V
64725,167,865,"2021-02-01 08:41:54.663-05",-79.885511,-2.128824,18.561,2.012,9.225,0101000020E6100000E34F5436ACF853C0EC8497E0D40701C0,V
32176,140,743,"2021-02-01 08:41:49.972-05",-79.866007,-2.121319,20.998,1.998,10.509,0101000020E6100000DAC69FA86CF753C041118B1876F800C0,V
6367,59,991,"2021-02-04 07:17:17-05",-79.895995,-2.164215,6.57,2,3.285,0101000020E61000004A9869FB57F953C0E31934F44F5001C0,O
14795,318,289,"2021-03-09 03:01:24-05",-79.873684,-2.082117,28.208,2.033,13.875,0101000020E610000076C24B70EAF753C0A8902BF52CA800C0,V
104287,200,794,"2021-02-01 08:41:52.025-05",-79.881012,-2.12661,35.1,1.994,17.602,0101000020E61000008CD8278062F853C0C1C58A1A4C0301C0,V
40855,147,1015,"2021-02-01 08:42:00.367-05",-79.8865,-2.150644,20.783,1.993,10.428,0101000020E6100000DBF97E6ABCF853C080B56AD7843401C0,V
71358,173,292,"2021-02-01 08:41:32.694-05",-79.894125,-2.131484,7.96,2,3.98,0101000020E61000004E62105839F953C0FF93BF7B470D01C0,V
128275,220,762,"2021-02-01 08:41:50.73-05",-79.8697,-2.124249,41.964,2.005,20.929,0101000020E61000003255302AA9F753C0527C7C4276FE00C0,V
66347,169,85,"2021-02-01 08:41:24.318-05",-79.867527,-2.118414,47.163,2.053,22.973,0101000020E61000006859F78F85F753C0BD1B0B0A83F200C0,V
23493,133,467,"2021-02-01 08:41:39.323-05",-79.850315,-2.074422,3.014,2.008,1.501,0101000020E610000016139B8F6BF653C0C4D2C08F6A9800C0,V
105415,201,721,"2021-02-01 08:41:49.136-05",-79.869454,-2.115125,34.198,2.008,17.031,0101000020E610000017D86322A5F753C0B29DEFA7C6EB00C0,V
17209,128,188,"2021-02-01 08:41:28.36-05",-79.888945,-2.131786,17.972,2.001,8.981,0101000020E610000056BC9179E4F853C0B49080D1E50D01C0,V
115280,209,978,"2021-02-01 08:41:58.971-05",-79.885184,-2.145275,21.723,2.001,10.856,0101000020E610000051BCCADAA6F853C044696FF0852901C0,V
71872,173,806,"2021-02-01 08:41:52.477-05",-79.8833,-2.127437,4.079,1.992,2.048,0101000020E6100000A323B9FC87F853C01F679AB0FD0401C0,V
19727,130,304,"2021-02-01 08:41:33.149-05",-79.895042,-2.12994,21.354,2,10.677,0101000020E6100000F9A23D5E48F953C0B58993FB1D0A01C0,V
14938,126,319,"2021-02-01 08:41:33.711-05",-79.832295,-2.068402,11.667,2.003,5.825,0101000020E6100000F5673F5244F553C012D90759168C00C0,V
90813,189,531,"2021-02-01 08:41:41.757-05",-79.86859,-2.073725,40.624,1.994,20.373,0101000020E61000007DE882FA96F753C0492EFF21FD9600C0,V
135925,227,5,"2021-02-01 08:41:21.292-05",-79.873827,-2.095514,13.574,2.021,6.716,0101000020E610000028D714C8ECF753C02D7B12D89CC300C0,V
114606,209,304,"2021-02-01 08:41:33.149-05",-79.895042,-2.12994,21.354,2,10.677,0101000020E6100000F9A23D5E48F953C0B58993FB1D0A01C0,V
22180,356,180,"2021-03-12 08:22:03-05",-79.903695,-2.205937,25.6,0.254,100.79,0101000020E6100000C2A38D23D6F953C0734A404CC2A501C0,C
90337,189,55,"2021-02-01 08:41:23.19-05",-79.872239,-2.108007,29.759,1.997,14.902,0101000020E6100000EDD286C3D2F753C09FE925C632DD00C0,V
135963,227,43,"2021-02-01 08:41:22.721-05",-79.872595,-2.106524,5.608,1.998,2.807,0101000020E6100000CDE9B298D8F753C0AFE9414129DA00C0,V
16966,127,1146,"2021-02-01 08:42:05.621-05",-79.895112,-2.165134,15.499,1.964,7.891,0101000020E61000007590D78349F953C04CA94BC6315201C0,V
79821,180,348,"2021-02-01 08:41:34.794-05",-79.833677,-2.068487,27.801,1.997,13.921,0101000020E61000005A9BC6F65AF553C0F69B89E9428C00C0,V
64401,167,541,"2021-02-01 08:41:42.134-05",-79.871032,-2.073372,18.492,2.001,9.241,0101000020E61000003F7100FDBEF753C07289230F449600C0,V
133278,224,961,"2021-02-01 08:41:58.309-05",-79.884219,-2.143445,9.883,2.009,4.919,0101000020E61000001EE0490B97F853C0A032FE7DC62501C0,V
28053,137,223,"2021-02-01 08:41:29.998-05",-79.892242,-2.131734,12.974,2.011,6.451,0101000020E61000008787307E1AF953C08C2B2E8ECA0D01C0,V
100667,197,777,"2021-02-01 08:41:51.394-05",-79.874995,-2.125815,42.456,2.012,21.101,0101000020E6100000774A07EBFFF753C019C5724BAB0101C0,V
44257,150,814,"2021-02-01 08:41:52.772-05",-79.883537,-2.127637,8.159,1.994,4.091,0101000020E610000095F3C5DE8BF853C09013268C660501C0,V
58614,162,759,"2021-02-01 08:41:50.619-05",-79.868765,-2.123679,40.134,2.017,19.898,0101000020E610000034BA83D899F753C0AA9D616A4BFD00C0,V
39136,393,1615,"2021-03-22 01:53:42-05",-79.89073,-2.133541,24.939,2.035,12.255,0101000020E61000003BE466B801F953C0AE669DF17D1101C0,M
37012,144,775,"2021-02-01 08:41:51.32-05",-79.874244,-2.12571,42.222,1.998,21.132,0101000020E61000005A2E1B9DF3F753C0C53D963E740101C0,V
105329,201,635,"2021-02-01 08:41:45.813-05",-79.873734,-2.090822,33.568,2.001,16.776,0101000020E6100000CFD90242EBF753C0FA0E7EE200BA00C0,V
30346,139,114,"2021-02-01 08:41:25.43-05",-79.871729,-2.125304,51.028,1.986,25.694,0101000020E6100000637E6E68CAF753C0C07630629F0001C0,V
135515,226,796,"2021-02-01 08:41:52.099-05",-79.88164,-2.126695,32.981,1.997,16.515,0101000020E61000001CB62DCA6CF853C0A4880CAB780301C0,V
900,22,736,"2021-02-01 08:41:49.713-05",-79.867134,-2.11926,39.738,2.001,19.859,0101000020E6100000FACF9A1F7FF753C087C43D963EF400C0,V
18344,330,38,"2021-03-12 03:02:06-05",-79.895932,-2.164689,5.767,1.997,2.888,0101000020E610000027DC2BF356F953C06A166877485101C0,O
81222,181,548,"2021-02-01 08:41:42.394-05",-79.87221,-2.07322,5.886,2.004,2.937,0101000020E6100000A04FE449D2F753C0124E0B5EF49500C0,V
37354,144,1117,"2021-02-01 08:42:04.182-05",-79.894715,-2.167919,15.001,2.005,7.482,0101000020E6100000670FB40243F953C02504ABEAE55701C0,V
47144,153,98,"2021-02-01 08:41:24.807-05",-79.866026,-2.122195,25.129,1.981,12.685,0101000020E610000016DF50F86CF753C0B5E0455F41FA00C0,V
57618,161,964,"2021-02-01 08:41:58.422-05",-79.884349,-2.143689,0.261,2.008,0.13,0101000020E610000005508C2C99F853C00C5C1E6B462601C0,V
14614,318,203,"2021-03-09 03:01:24-05",-79.857937,-2.075452,38.025,2.007,18.946,0101000020E6100000D1419770E8F653C0A3570394869A00C0,V
22245,357,138,"2021-03-12 08:22:03-05",-79.909364,-2.204395,15.336,2.004,7.652,0101000020E6100000390A100533FA53C034BA83D899A201C0,C
84371,184,94,"2021-02-01 08:41:24.657-05",-79.865887,-2.121479,30.799,2.025,15.209,0101000020E610000005C24EB16AF753C0CE3461FBC9F800C0,V
81588,181,914,"2021-02-01 08:41:56.502-05",-79.882367,-2.133035,7.616,2.003,3.802,0101000020E6100000750470B378F853C071C971A7741001C0,V
15219,126,600,"2021-02-01 08:41:44.373-05",-79.873685,-2.082905,18.74,1.992,9.407,0101000020E61000005E807D74EAF753C02766BD18CAA900C0,V
75714,176,1045,"2021-02-01 08:42:01.48-05",-79.887739,-2.157075,23.606,1.998,11.815,0101000020E61000008F183DB7D0F853C05227A089B04101C0,V
137030,227,1110,"2021-02-01 08:42:03.911-05",-79.893815,-2.167842,20.124,2.001,10.056,0101000020E6100000276BD44334F953C06F29E78BBD5701C0,V
120051,213,945,"2021-02-01 08:41:57.65-05",-79.882431,-2.140069,18.482,1.983,9.32,0101000020E6100000807EDFBF79F853C0A777F17EDC1E01C0,V
18594,332,91,"2021-03-12 03:13:19-05",-79.897597,-2.178224,23.52,2.017,11.661,0101000020E610000037FFAF3A72F953C000E65AB4006D01C0,V
127491,219,1179,"2021-02-01 08:42:06.857-05",-79.895459,-2.16373,11.122,1.999,5.563,0101000020E61000002BFA43334FF953C01EFE9AAC514F01C0,V
89824,188,743,"2021-02-01 08:41:49.972-05",-79.866007,-2.121319,20.998,1.998,10.509,0101000020E6100000DAC69FA86CF753C041118B1876F800C0,V
108012,203,916,"2021-02-01 08:41:56.577-05",-79.882242,-2.1331,17.424,2.011,8.664,0101000020E6100000174A26A776F853C0E3C798BB961001C0,V
98763,196,74,"2021-02-01 08:41:23.9-05",-79.869919,-2.114217,42.909,1.996,21.497,0101000020E6100000D1CABDC0ACF753C0882D3D9AEAE900C0,V
43389,149,1147,"2021-02-01 08:42:05.659-05",-79.89516,-2.165004,13.632,2.017,6.758,0101000020E6100000FE2B2B4D4AF953C069ACFD9DED5101C0,V
80835,181,161,"2021-02-01 08:41:27.343-05",-79.885227,-2.128814,15,1.996,7.515,0101000020E610000051A2258FA7F853C0B4226AA2CF0701C0,V
79035,179,763,"2021-02-01 08:41:50.768-05",-79.870027,-2.124439,41.36,1.977,20.92,0101000020E6100000C4E8B985AEF753C08BC6DADFD9FE00C0,V
120905,214,598,"2021-02-01 08:41:44.263-05",-79.873692,-2.082534,21.683,2.008,10.798,0101000020E6100000B8B1D991EAF753C0EA76F69507A900C0,V
22253,356,216,"2021-03-12 08:22:03-05",-79.899546,-2.207098,0.303,1.953,0.155,0101000020E6100000D9CF622992F953C03B8908FF22A801C0,C
