id_det_tra,id_trayectoria,orden,fecha,longitud,latitud,distancia,duracion,velocidad,coordenadas,tipo_coordenada
63798,166,1139,"2021-02-01 08:42:05.362-05",-79.895002,-2.166022,12.65,1.999,6.328,0101000020E6100000B2F677B647F953C00455A357035401C0,V
2573,34,96,"2021-02-02 07:32:38-05",-79.896425,-2.156364,24.464,1.972,12.405,0101000020E61000004694F6065FF953C0882CD2C43B4001C0,M
61820,165,362,"2021-02-01 08:41:35.324-05",-79.834341,-2.071245,30.121,1.996,15.09,0101000020E6100000902DCBD765F553C0350708E6E89100C0,V
81478,181,804,"2021-02-01 08:41:52.402-05",-79.883149,-2.127312,9.345,2.001,4.67,0101000020E6100000B01F628385F853C0581B6327BC0401C0,V
96777,194,490,"2021-02-01 08:41:40.225-05",-79.855599,-2.074837,21.127,2.004,10.542,0101000020E610000061DF4E22C2F653C0FB3E1C24449900C0,V
37148,144,911,"2021-02-01 08:41:56.391-05",-79.883032,-2.133107,27.733,2.005,13.832,0101000020E61000009354A69883F853C00AF31E679A1001C0,V
76377,177,507,"2021-02-01 08:41:40.86-05",-79.859577,-2.075787,35.392,2.005,17.652,0101000020E610000034D93F4F03F753C014B2F336369B00C0,V
66860,169,598,"2021-02-01 08:41:44.263-05",-79.873692,-2.082534,21.683,2.008,10.798,0101000020E6100000B8B1D991EAF753C0EA76F69507A900C0,V
37090,393,592,"2021-03-22 01:53:42-05",-80.241477,-2.310909,42.342,2,21.171,0101000020E61000001E6FF25B740F54C0AB4198DBBD7C02C0,M
15114,318,449,"2021-03-09 03:01:24-05",-79.865845,-2.121949,24.604,1.943,12.663,0101000020E6100000ED9925016AF753C03E3DB665C0F900C0,V
70412,172,547,"2021-02-01 08:41:42.356-05",-79.872069,-2.073237,12.864,1.995,6.448,0101000020E6100000BFB67EFACFF753C073DBBE47FD9500C0,V
88421,187,541,"2021-02-01 08:41:42.134-05",-79.871032,-2.073372,18.492,2.001,9.241,0101000020E61000003F7100FDBEF753C07289230F449600C0,V
36722,394,340,"2021-03-22 01:53:42-05",-80.156735,-2.266546,47.305,2.005,23.593,0101000020E6100000DEC83CF2070A54C0740987DEE22102C0,M
125875,218,764,"2021-02-01 08:41:50.805-05",-79.87035,-2.124634,42.666,2.013,21.195,0101000020E6100000B6847CD0B3F753C0DFC14F1C40FF00C0,V
117009,211,305,"2021-02-01 08:41:33.187-05",-79.895162,-2.12979,22.065,2.023,10.907,0101000020E6100000CEA78E554AF953C060C8EA56CF0901C0,V
42622,149,380,"2021-02-01 08:41:35.998-05",-79.836199,-2.073089,4.556,1.996,2.282,0101000020E6100000AA7CCF4884F553C0299485AFAF9500C0,V
30776,139,544,"2021-02-01 08:41:42.245-05",-79.871539,-2.073302,20.169,2.005,10.059,0101000020E6100000118C834BC7F753C0E4D9E55B1F9600C0,V
41808,148,767,"2021-02-01 08:41:50.917-05",-79.871345,-2.125184,40.528,1.994,20.324,0101000020E61000001FA2D11DC4F753C016DC0F78600001C0,V
60451,164,194,"2021-02-01 08:41:28.589-05",-79.889704,-2.132299,22.515,1.993,11.297,0101000020E6100000B4C70BE9F0F853C0195932C7F20E01C0,V
23782,133,756,"2021-02-01 08:41:50.509-05",-79.867944,-2.123162,36.186,2.007,18.03,0101000020E61000009AB0FD648CF753C02FE1D05B3CFC00C0,V
20892,131,268,"2021-02-01 08:41:31.706-05",-79.89566,-2.132137,2.754,2.005,1.373,0101000020E61000007715527E52F953C080BBECD79D0E01C0,V
12064,121,546,"2021-02-17 02:54:51-05",-79.88205,-2.135795,31.242,1.979,15.786,0101000020E6100000F5DBD78173F853C0BCAE5FB01B1601C0,V
19090,129,868,"2021-02-01 08:41:54.775-05",-79.885947,-2.128952,18.95,2.001,9.47,0101000020E610000051BF0B5BB3F853C0C40776FC170801C0,V
111177,206,478,"2021-02-01 08:41:39.734-05",-79.851772,-2.07552,35.496,1.98,17.927,0101000020E610000081E9B46E83F653C0268DD13AAA9A00C0,V
36308,144,71,"2021-02-01 08:41:23.788-05",-79.870495,-2.113179,43.877,2.005,21.884,0101000020E61000003815A930B6F753C07BC03C64CAE700C0,V
103049,199,757,"2021-02-01 08:41:50.546-05",-79.8682,-2.123322,38.074,2.001,19.027,0101000020E6100000C898BB9690F753C0BC04A73E90FC00C0,V
133373,224,1056,"2021-02-01 08:42:01.898-05",-79.889162,-2.159432,32.037,2,16.018,0101000020E610000024B6BB07E8F853C0AA7CCF48844601C0,V
44299,150,856,"2021-02-01 08:41:54.33-05",-79.885144,-2.128787,3.234,2.009,1.609,0101000020E61000000A100533A6F853C01A33897AC10701C0,V
16072,127,252,"2021-02-01 08:41:31.11-05",-79.895697,-2.131812,15.065,2.007,7.506,0101000020E61000000588821953F953C048C32973F30D01C0,V
33874,142,39,"2021-02-01 08:41:22.573-05",-79.872744,-2.105892,22.754,1.995,11.405,0101000020E6100000EF71A609DBF753C0A643A7E7DDD800C0,V
