id_det_tra,id_trayectoria,orden,fecha,longitud,latitud,distancia,duracion,velocidad,coordenadas,tipo_coordenada
20480,351,31,"2021-03-12 07:50:19-05",-79.931487,-2.163895,30.112,2.001,15.048,0101000020E61000008C69A67B9DFB53C0C8D2872EA84F01C0,V
36106,393,97,"2021-03-22 01:53:42-05",-80.089249,-2.221785,3.038,1.998,1.52,0101000020E6100000D80C7041B60554C067F2CD3637C601C0,M
19286,341,176,"2021-03-12 05:09:58-05",-79.926513,-2.193907,19.529,1.755,11.127,0101000020E610000068942EFD4BFB53C049B9FB1C1F8D01C0,C
16271,326,11,"2021-03-12 02:34:03-05",-79.874369,-2.020969,8.347,1.987,4.2,0101000020E6100000B8E864A9F5F753C0AED689CBF12A00C0,V
33082,386,119,"2021-03-15 05:53:35-05",-79.933149,-2.113474,24.528,1.978,12.4,0101000020E6100000E35295B6B8FB53C00892770E65E800C0,R
37243,393,667,"2021-03-22 01:53:42-05",-80.263279,-2.327747,50.855,1.963,25.906,0101000020E61000004FAE2990D91054C09BE5B2D1399F02C0,M
32302,385,580,"2021-03-15 03:07:32-05",-79.881985,-2.138619,31.872,2.004,15.904,0101000020E610000001A4367172F853C073D53C47E41B01C0,M
39459,399,14,"2021-03-26 01:00:57-05",-79.920387,-2.0873,2.003,1.997,1.003,0101000020E6100000782AE09EE7FA53C0C286A757CAB200C0,O
12609,252,152,"2021-02-24 06:07:00-05",-79.94875,-2.8498484,1,1,1,0101000020E61000001F85EB51B8FC53C03411363CBDB200C0,V
16497,326,150,"2021-03-12 02:34:03-05",-79.862941,-2.128247,42.895,1.992,21.533,0101000020E61000002A58E36C3AF753C01C7BF65CA60601C0,V
24389,361,904,"2021-03-12 08:44:39-05",-79.896596,-2.185757,2.358,1.98,1.19,0101000020E61000005D6E30D461F953C04B06802A6E7C01C0,C
35140,391,448,"2021-03-20 03:49:00-05",-79.948097,-2.091922,43.182,2.005,21.537,0101000020E6100000E31B0A9FADFC53C06743FE9941BC00C0,V
