id_det_tra,id_trayectoria,orden,fecha,longitud,latitud,distancia,duracion,velocidad,coordenadas,tipo_coordenada
12914,257,8,"2021-02-24 06:03:26-05",-79.94875,-2.8498484,1,1,1,0101000020E61000001F85EB51B8FC53C03411363CBDB200C0,O
28812,374,1130,"2021-03-12 11:17:01-05",-79.90845,-2.14786,6.114,2.011,3.04,0101000020E61000004703780B24FA53C0AD174339D12E01C0,V
26193,370,347,"2021-03-12 10:14:03-05",-79.894185,-2.184515,8.828,2.007,4.398,0101000020E6100000B8E4B8533AF953C0B6F81400E37901C0,C
12042,122,463,"2021-02-17 02:54:51-05",-79.876344,-2.125955,52.592,1.999,26.309,0101000020E6100000EF02250516F853C03524EEB1F40101C0,V
18187,329,715,"2021-03-12 02:59:25-05",-79.892215,-2.166734,16.746,2.008,8.34,0101000020E61000000A80F10C1AF953C0D40CA9A2785501C0,V
17047,328,201,"2021-03-12 02:59:25-05",-79.859885,-2.075697,43.274,1.989,21.756,0101000020E61000008B54185B08F753C0143E5B07079B00C0,V
30413,382,32,"2021-03-12 12:14:23-05",-79.905821,-2.12008,6.778,2.017,3.36,0101000020E6100000ECC1A4F8F8F953C0BD3AC780ECF500C0,C
13697,263,41,"2021-02-24 06:05:07-05",-79.94875,-2.8498484,1,1,1,0101000020E61000001F85EB51B8FC53C03411363CBDB200C0,V
26511,372,89,"2021-03-12 11:03:27-05",-79.895457,-2.180295,4.706,1.735,2.712,0101000020E61000005A7EE02A4FF953C0FE0E45813E7101C0,C
20228,346,25,"2021-03-12 05:37:53-05",-79.900079,-2.245214,6.692,2.147,3.117,0101000020E61000004034F3E49AF953C0B62BF4C132F601C0,C
24626,363,42,"2021-03-12 09:10:56-05",-79.898339,-2.171335,128.616,486.103,0.264,0101000020E61000002B6EDC627EF953C002486DE2E45E01C0,O
25691,371,20,"2021-03-12 10:14:03-05",-79.924194,-2.193557,23.186,1.978,11.722,0101000020E6100000344A97FE25FB53C0844BC79C678C01C0,C
27049,375,177,"2021-03-12 11:17:01-05",-79.90627,-2.238855,25.184,1.958,12.862,0101000020E610000024D6E25300FA53C07EE36BCF2CE901C0,V
32098,384,541,"2021-03-15 03:07:32-05",-79.88312,-2.130496,19.701,1.998,9.86,0101000020E6100000639CBF0985F853C00E12A27C410B01C0,M
14778,319,218,"2021-03-09 03:01:24-05",-79.863404,-2.07443,46.36,2.008,23.087,0101000020E610000014CFD90242F753C0F1BA7EC16E9800C0,V
14913,319,285,"2021-03-09 03:01:24-05",-79.873707,-2.081392,18.906,1.995,9.477,0101000020E610000052D2C3D0EAF753C08E3F51D9B0A600C0,V
32303,384,642,"2021-03-15 03:07:32-05",-79.885835,-2.146377,23.881,2.001,11.934,0101000020E6100000BDA94885B1F853C0BE175FB4C72B01C0,M
16849,329,37,"2021-03-12 02:59:25-05",-79.833494,-2.067955,5.508,2.009,2.741,0101000020E610000062DA37F757F553C025CCB4FD2B8B00C0,V
27606,375,455,"2021-03-12 11:17:01-05",-79.957664,-2.190095,31.077,0.2,155.389,0101000020E61000009E23F25D4AFD53C0A1100187508501C0,V
15964,318,874,"2021-03-09 03:01:24-05",-79.892232,-2.165679,13.734,2.04,6.732,0101000020E6100000761C3F541AF953C06612F5824F5301C0,V
37565,393,830,"2021-03-22 01:53:42-05",-80.314815,-2.37277,54.35,1.993,27.27,0101000020E61000009352D0ED251454C07A7077D66EFB02C0,M
30351,380,334,"2021-03-12 11:43:13-05",-79.896519,-2.181251,35.872,2.009,17.856,0101000020E6100000874F3A9160F953C039F06AB9337301C0,V
35934,392,795,"2021-03-20 03:49:00-05",-79.969424,-2.185437,40.494,2.021,20.036,0101000020E610000048FDF50A0BFE53C02FBFD364C67B01C0,V
35042,392,338,"2021-03-20 03:49:00-05",-79.921462,-2.073415,38.795,1.997,19.426,0101000020E61000006FA0C03BF9FA53C06649809A5A9600C0,V
19054,341,55,"2021-03-12 05:09:58-05",-79.940087,-2.224347,11.375,0.012,947.929,0101000020E61000004419AA622AFC53C04CA59F7076CB01C0,C
12895,255,135,"2021-02-24 06:06:59-05",-79.94875,-2.8498484,1,1,1,0101000020E61000001F85EB51B8FC53C03411363CBDB200C0,V
39047,394,1503,"2021-03-22 01:53:42-05",-79.866537,-2.120315,36.134,1.991,18.149,0101000020E610000088F19A5775F753C0F5BEF1B567F600C0,M
17122,328,238,"2021-03-12 02:59:25-05",-79.873315,-2.073039,10.228,1.999,5.116,0101000020E6100000CD069964E4F753C00DA9A278959500C0,V
14997,318,391,"2021-03-09 03:01:24-05",-79.87273,-2.105754,34.528,2,17.264,0101000020E61000003D0FEECEDAF753C0965E9B8D95D800C0,V
20791,352,135,"2021-03-12 07:50:19-05",-79.916642,-2.171943,25.122,1.652,15.207,0101000020E6100000F6083543AAFA53C08335CEA6236001C0,V
38424,393,1254,"2021-03-22 01:53:42-05",-79.854724,-2.07526,29.004,2.005,14.466,0101000020E6100000CEC64ACCB3F653C0609335EA219A00C0,M
27020,375,162,"2021-03-12 11:17:01-05",-79.902894,-2.238914,25.37,1.96,12.944,0101000020E61000004C70EA03C9F953C0CD7344BE4BE901C0,V
24491,361,969,"2021-03-12 08:44:39-05",-79.897023,-2.185305,0.763,1.964,0.388,0101000020E6100000A13028D368F953C041481630817B01C0,C
12118,122,501,"2021-02-17 02:54:51-05",-79.886077,-2.129416,7.348,2,3.674,0101000020E6100000382F4E7CB5F853C012A27C410B0901C0,V
20096,341,598,"2021-03-12 05:09:58-05",-79.893906,-2.185983,4.08,1.631,2.502,0101000020E6100000AFEC82C135F953C04FE5B4A7E47C01C0,C
12716,254,101,"2021-02-24 06:06:57-05",-79.94875,-2.8498484,1,1,1,0101000020E61000001F85EB51B8FC53C03411363CBDB200C0,V
16407,326,106,"2021-03-12 02:34:03-05",-79.871786,-2.110115,41.39,2.001,20.684,0101000020E610000015C78157CBF753C06F641EF983E100C0,V
36451,394,205,"2021-03-22 01:53:42-05",-80.113709,-2.235917,48.101,2.001,24.038,0101000020E6100000B2101D02470754C03F90BC7328E301C0,M
31474,384,226,"2021-03-15 03:07:32-05",-79.868304,-2.073782,48.665,2.001,24.32,0101000020E61000001ABFF04A92F753C08D4468041B9700C0,M
16876,329,50,"2021-03-12 02:59:25-05",-79.833711,-2.068124,22.242,1.989,11.182,0101000020E610000030D461855BF553C0E6948098848B00C0,V
39187,394,1570,"2021-03-22 01:53:42-05",-79.884137,-2.128101,27.686,2.001,13.836,0101000020E6100000BF0B5BB395F853C0DEAD2CD1590601C0,M
14957,319,307,"2021-03-09 03:01:24-05",-79.873599,-2.084967,44.121,2.021,21.831,0101000020E61000005FB4C70BE9F753C0F2E9B12D03AE00C0,V
24580,362,59,"2021-03-12 09:10:56-05",-79.897427,-2.183143,2.546,2.001,1.272,0101000020E610000008E3A7716FF953C03DEE5BAD137701C0,O
26195,370,348,"2021-03-12 10:14:03-05",-79.894303,-2.184481,3.499,1.997,1.752,0101000020E6100000BD6DA6423CF953C0F4DDAD2CD17901C0,C
12225,230,3,"2021-02-22 17:17:39-05",-79.920374,-2.087349,0.667,0.985,0.678,0101000020E6100000AD855968E7FA53C0D9B45208E4B200C0,O
37073,393,583,"2021-03-22 01:53:42-05",-80.239965,-2.307739,46.326,2.011,23.036,0101000020E6100000D1CB28965B0F54C045A165DD3F7602C0,M
33765,389,40,"2021-03-20 03:00:55-05",-79.84449,-2.073367,5.75,1.968,2.922,0101000020E610000023F3C81F0CF653C056D80C70419600C0,V
15602,319,631,"2021-03-09 03:01:24-05",-79.881966,-2.134685,9.451,1.957,4.829,0101000020E6100000C68B852172F853C01618B2BAD51301C0,V
18601,332,98,"2021-03-12 03:13:19-05",-79.897157,-2.179354,4.576,1.964,2.33,0101000020E6100000299831056BF953C018416326516F01C0,V
