id_det_tra,id_trayectoria,orden,fecha,longitud,latitud,distancia,duracion,velocidad,coordenadas,tipo_coordenada
11017,111,2,"2021-02-14 15:42:55-05",-79.920645,-2.087525,11.28,1.992,5.663,0101000020E6100000758E01D9EBFA53C0C1A8A44E40B300C0,O
110597,205,1099,"2021-02-01 08:42:03.499-05",-79.893254,-2.166869,15.939,2.001,7.965,0101000020E61000005B41D3122BF953C0D4BA0D6ABF5501C0,V
2935,34,458,"2021-02-02 07:32:38-05",-79.873469,-2.084842,20.018,2.005,9.984,0101000020E6100000784485EAE6F753C02C9E7AA4C1AD00C0,M
73617,175,149,"2021-02-01 08:41:26.891-05",-79.883669,-2.127749,30.905,2,15.452,0101000020E61000004CDF6B088EF853C00DC68844A10501C0,V
9042,68,50,"2021-02-05 03:44:06-05",-79.834402,-2.071339,35.336,2.003,17.641,0101000020E6100000E36DA5D766F553C04C6F7F2E1A9200C0,C
101991,198,900,"2021-02-01 08:41:55.98-05",-79.883822,-2.132182,23.331,2.017,11.567,0101000020E61000000F5F268A90F853C07FF5B86FB50E01C0,V
36106,393,97,"2021-03-22 01:53:42-05",-80.089249,-2.221785,3.038,1.998,1.52,0101000020E6100000D80C7041B60554C067F2CD3637C601C0,M
70397,172,532,"2021-02-01 08:41:41.794-05",-79.868965,-2.073667,38.136,2.004,19.03,0101000020E61000009817601F9DF753C0FF5A5EB9DE9600C0,V
112171,207,271,"2021-02-01 08:41:31.821-05",-79.89566,-2.132169,3.379,2.048,1.65,0101000020E61000007715527E52F953C0365CE49EAE0E01C0,V
123341,216,632,"2021-02-01 08:41:45.701-05",-79.873674,-2.089895,34.345,2.001,17.164,0101000020E610000064575A46EAF753C06397A8DE1AB800C0,V
11284,121,154,"2021-02-17 02:54:51-05",-79.847089,-2.07393,34.917,2.009,17.38,0101000020E610000049F3C7B436F653C0D68BA19C689700C0,V
24010,133,984,"2021-02-01 08:41:59.192-05",-79.885765,-2.146375,23.535,1.999,11.773,0101000020E610000041BCAE5FB0F853C0B29DEFA7C62B01C0,V
111062,206,363,"2021-02-01 08:41:35.361-05",-79.834427,-2.071494,30.241,2.005,15.083,0101000020E610000090F9804067F553C0BDE13E726B9200C0,V
