id_det_tra,id_trayectoria,orden,fecha,longitud,latitud,distancia,duracion,velocidad,coordenadas,tipo_coordenada
51400,156,751,"2021-02-01 08:41:50.324-05",-79.86669,-2.122455,32.567,1.993,16.34,0101000020E61000004C7155D977F753C07BDAE1AFC9FA00C0,V
32773,385,815,"2021-03-15 03:07:32-05",-79.892254,-2.167007,17.929,2.001,8.96,0101000020E6100000696E85B01AF953C0E49F19C4075601C0,M
127908,220,395,"2021-02-01 08:41:36.559-05",-79.838705,-2.072447,31.823,2.001,15.903,0101000020E6100000787FBC57ADF553C0E78BBD175F9400C0,V
107501,203,405,"2021-02-01 08:41:36.943-05",-79.840505,-2.072269,19.632,1.958,10.026,0101000020E6100000F7C77BD5CAF553C0F31DFCC4019400C0,V
70154,172,289,"2021-02-01 08:41:32.582-05",-79.894202,-2.131771,14.185,2.004,7.078,0101000020E61000002481069B3AF953C05F7D3CF4DD0D01C0,V
64105,167,245,"2021-02-01 08:41:30.848-05",-79.894524,-2.131179,18.603,2.001,9.296,0101000020E61000002D5F97E13FF953C039605793A70C01C0,V
89328,188,247,"2021-02-01 08:41:30.923-05",-79.894862,-2.131269,20.545,2,10.272,0101000020E6100000B91B446B45F953C039D4EFC2D60C01C0,V
29657,138,626,"2021-02-01 08:41:45.477-05",-79.87358,-2.08781,40.416,1.993,20.279,0101000020E6100000249C16BCE8F753C01618B2BAD5B300C0,V
115019,209,717,"2021-02-01 08:41:48.95-05",-79.870064,-2.114072,33.557,2.015,16.654,0101000020E6100000535BEA20AFF753C0501DAB949EE900C0,V
25130,134,903,"2021-02-01 08:41:56.095-05",-79.883765,-2.132802,12.979,2.007,6.466,0101000020E61000005D16139B8FF853C044BFB67EFA0F01C0,V
70035,172,170,"2021-02-01 08:41:27.684-05",-79.886109,-2.129502,24.384,2.001,12.185,0101000020E61000003EEC8502B6F853C0FB213658380901C0,V
118449,212,544,"2021-02-01 08:41:42.245-05",-79.871539,-2.073302,20.169,2.005,10.059,0101000020E6100000118C834BC7F753C0E4D9E55B1F9600C0,V
46515,152,670,"2021-02-01 08:41:47.209-05",-79.873835,-2.1013,33.836,1.997,16.943,0101000020E610000069C6A2E9ECF753C0ACADD85F76CF00C0,V
22328,132,503,"2021-02-01 08:41:40.71-05",-79.858262,-2.075677,38.638,2.001,19.309,0101000020E61000009259BDC3EDF653C0A379008BFC9A00C0,V
97542,195,54,"2021-02-01 08:41:23.153-05",-79.872312,-2.107769,27.725,2.001,13.856,0101000020E610000022FAB5F5D3F753C0552E54FEB5DC00C0,V
26192,371,269,"2021-03-12 10:14:03-05",-79.893429,-2.18863,10.942,1.99,5.498,0101000020E61000001213D4F02DF953C0185B0872508201C0,C
90120,188,1039,"2021-02-01 08:42:01.254-05",-79.887125,-2.155874,25.937,1.987,13.053,0101000020E6100000B29DEFA7C6F853C0A65F22DE3A3F01C0,V
19790,130,367,"2021-02-01 08:41:35.513-05",-79.83474,-2.07252,18.904,2.005,9.428,0101000020E61000006F2A52616CF553C08672A25D859400C0,V
89602,188,521,"2021-02-01 08:41:41.385-05",-79.864492,-2.074306,47.023,1.981,23.737,0101000020E6100000D5E940D653F753C0302C7FBE2D9800C0,V
37678,145,240,"2021-02-01 08:41:30.656-05",-79.894154,-2.131257,8.181,1.966,4.161,0101000020E61000009BE5B2D139F953C0F5F75278D00C01C0,V
