id_det_tra,id_trayectoria,orden,fecha,longitud,latitud,distancia,duracion,velocidad,coordenadas,tipo_coordenada
18631,332,128,"2021-03-12 03:13:19-05",-79.896509,-2.181442,3.991,2.021,1.975,0101000020E610000075E4486760F953C077F700DD977301C0,V
11771,121,399,"2021-02-17 02:54:51-05",-79.871247,-2.11174,37.612,2.003,18.777,0101000020E61000003DEFC682C2F753C0863DEDF0D7E400C0,V
13495,261,94,"2021-02-24 06:06:56-05",-79.94875,-2.8498484,1,1,1,0101000020E61000001F85EB51B8FC53C03411363CBDB200C0,V
38759,393,1423,"2021-03-22 01:53:42-05",-79.874029,-2.098354,34.293,2.011,17.052,0101000020E61000005BB05417F0F753C03F726BD26DC900C0,M
31832,385,345,"2021-03-15 03:07:32-05",-79.87398,-2.095915,5.202,1.999,2.602,0101000020E6100000EB56CF49EFF753C0159161156FC400C0,M
27348,375,326,"2021-03-12 11:17:01-05",-79.93346,-2.23545,29.762,2.068,14.391,0101000020E6100000F20703CFBDFB53C0E0BE0E9C33E201C0,V
13625,262,124,"2021-02-24 06:06:58-05",-79.94875,-2.8498484,1,1,1,0101000020E61000001F85EB51B8FC53C03411363CBDB200C0,V
20428,350,5,"2021-03-12 07:39:42-05",-79.903597,-2.132486,1.171,1.995,0.587,0101000020E6100000E1F08288D4F953C0406CE9D1540F01C0,C
36061,393,74,"2021-03-22 01:53:42-05",-80.08834,-2.221164,9.969,2.009,4.962,0101000020E61000006FBBD05CA70554C09C6B98A1F1C401C0,M
22880,360,212,"2021-03-12 08:44:39-05",-79.905837,-2.220577,19.899,0.27,73.701,0101000020E61000006FA0C03BF9F953C093FFC9DFBDC301C0,C
11263,122,76,"2021-02-17 02:54:51-05",-79.835832,-2.0732,19.623,2.004,9.792,0101000020E6100000D13C80457EF553C0A089B0E1E99500C0,V
14168,308,7,"2021-03-02 05:32:38-05",-79.8964287,-2.1814595,1,1,1,0101000020E6100000886C7B165FF953C05A63D009A17301C0,O
26464,372,63,"2021-03-12 11:03:27-05",-79.8825,-2.183651,1232.537,198.734,6.201,0101000020E610000014AE47E17AF853C08505F7031E7801C0,C
19520,340,347,"2021-03-12 05:09:58-05",-79.903266,-2.199854,4.382,1.748,2.507,0101000020E6100000AE65321CCFF953C05CCCCF0D4D9901C0,C
31114,384,33,"2021-03-15 03:07:32-05",-79.832944,-2.067902,7.704,1.994,3.863,0101000020E610000090D959F44EF553C0F8A92A34108B00C0,M
30378,381,14,"2021-03-12 12:07:31-05",-79.929249,-2.198062,1.58,1.945,0.812,0101000020E6100000CE35CCD078FB53C090A4A487A19501C0,C
14342,318,63,"2021-03-09 03:01:24-05",-79.834142,-2.070447,31.3,1.997,15.673,0101000020E6100000158E209562F553C07DCF4884469000C0,V
20564,351,95,"2021-03-12 07:50:19-05",-79.920875,-2.167812,29.466,2.003,14.711,0101000020E61000000E2DB29DEFFA53C0C5025FD1AD5701C0,V
33164,387,96,"2021-03-15 05:53:35-05",-79.909567,-2.178305,23.517,7.985,2.945,0101000020E610000055A1815836FA53C0CCB4FD2B2B6D01C0,R
13567,261,130,"2021-02-24 06:06:58-05",-79.94875,-2.8498484,1,1,1,0101000020E61000001F85EB51B8FC53C03411363CBDB200C0,O
35033,391,399,"2021-03-20 03:49:00-05",-79.935532,-2.080282,47.467,1.994,23.805,0101000020E610000022179CC1DFFB53C0E7A8A3E36AA400C0,V
16240,319,979,"2021-03-09 03:01:24-05",-79.895465,-2.163594,5.058,1.911,2.646,0101000020E61000009C6D6E4C4FF953C01893FE5E0A4F01C0,V
15161,318,473,"2021-03-09 03:01:24-05",-79.873759,-2.125609,40.02,1.968,20.335,0101000020E61000007C65DEAAEBF753C086AA984A3F0101C0,V
29983,379,190,"2021-03-12 11:43:13-05",-79.882593,-2.14041,38.948,2.003,19.445,0101000020E61000006DAB59677CF853C03A4030478F1F01C0,V
18042,328,690,"2021-03-12 02:59:25-05",-79.892232,-2.164662,6.301,2.001,3.148,0101000020E6100000761C3F541AF953C0D026874F3A5101C0,V
19944,341,507,"2021-03-12 05:09:58-05",-79.894576,-2.192268,13.828,1.7,8.134,0101000020E610000056F2B1BB40F953C0E38920CEC38901C0,C
23714,360,623,"2021-03-12 08:44:39-05",-79.895392,-2.194899,21.105,2.017,10.464,0101000020E610000067463F1A4EF953C0512FF834278F01C0,C
23247,360,394,"2021-03-12 08:44:39-05",-79.900132,-2.21026,9.797,0.316,31.005,0101000020E610000051853FC39BF953C074417DCB9CAE01C0,C
25948,370,225,"2021-03-12 10:14:03-05",-79.894221,-2.191314,2.042,2,1.021,0101000020E61000005F99B7EA3AF953C0B4226AA2CF8701C0,C
31246,384,116,"2021-03-15 03:07:32-05",-79.842154,-2.072297,23.718,2.003,11.841,0101000020E6100000840CE4D9E5F553C092CA1473109400C0,M
18568,332,72,"2021-03-12 03:13:19-05",-79.89833,-2.174474,19.045,2.003,9.508,0101000020E610000001C11C3D7EF953C0B804E09F526501C0,V
18915,340,33,"2021-03-12 05:09:58-05",-79.93735,-2.222119,12.615,1.739,7.254,0101000020E6100000F5B9DA8AFDFB53C0D28F8653E6C601C0,C
33217,387,122,"2021-03-15 05:53:35-05",-79.933513,-2.114873,76.098,1.992,38.202,0101000020E610000004594FADBEFB53C0198C118942EB00C0,R
12567,252,119,"2021-02-24 06:06:57-05",-79.94875,-2.8498484,1,1,1,0101000020E61000001F85EB51B8FC53C03411363CBDB200C0,V
38925,394,1442,"2021-03-22 01:53:42-05",-79.873027,-2.104689,37.128,1.999,18.573,0101000020E61000009961A3ACDFF753C0EF01BA2F67D600C0,M
31965,384,473,"2021-03-15 03:07:32-05",-79.875694,-2.125855,38.763,2.005,19.333,0101000020E61000006BD3D85E0BF853C0FD4D2844C00101C0,M
