id_det_tra,id_trayectoria,orden,fecha,longitud,latitud,distancia,duracion,velocidad,coordenadas,tipo_coordenada
50105,155,657,"2021-02-01 08:41:46.721-05",-79.874059,-2.097182,28.932,1.992,14.524,0101000020E610000091F12895F0F753C038143E5B07C700C0,V
72797,174,530,"2021-02-01 08:41:41.719-05",-79.868197,-2.073782,42.172,2.003,21.054,0101000020E61000000F5F268A90F753C08D4468041B9700C0,V
67761,170,298,"2021-02-01 08:41:32.924-05",-79.894412,-2.130732,19.855,2.003,9.912,0101000020E61000009949D40B3EF953C04C530438BD0B01C0,V
73482,175,14,"2021-02-01 08:41:21.63-05",-79.873955,-2.097477,35.954,1.98,18.159,0101000020E61000003ECBF3E0EEF753C0C5E57805A2C700C0,V
43645,150,202,"2021-02-01 08:41:29.008-05",-79.890589,-2.133185,21.21,2.008,10.563,0101000020E61000005A4B0169FFF853C0C68A1A4CC31001C0,V
116126,210,623,"2021-02-01 08:41:45.366-05",-79.873572,-2.08677,38.548,1.999,19.283,0101000020E6100000E2AC889AE8F753C0FD304278B4B100C0,V
40099,147,259,"2021-02-01 08:41:31.37-05",-79.895794,-2.13208,4.586,2.023,2.267,0101000020E6100000FE7C5BB054F953C03CA583F57F0E01C0,V
10429,70,403,"2021-02-05 10:26:52-05",-79.847997,-2.163384,37.468,1.991,18.818,0101000020E6100000CB86359545F653C06F8445459C4E01C0,E
35599,143,563,"2021-02-01 08:41:42.954-05",-79.873727,-2.073285,22.411,1.999,11.211,0101000020E610000076A8A624EBF753C0834C3272169600C0,V
102742,199,450,"2021-02-01 08:41:38.676-05",-79.846227,-2.073882,21.045,2.004,10.501,0101000020E6100000807F4A9528F653C0C51A2E724F9700C0,V
84429,184,152,"2021-02-01 08:41:27.006-05",-79.884307,-2.128264,27.717,1.977,14.02,0101000020E6100000EE27637C98F853C07D08AA46AF0601C0,V
126324,219,12,"2021-02-01 08:41:21.555-05",-79.873955,-2.09693,28.727,2.009,14.299,0101000020E61000003ECBF3E0EEF753C09F02603C83C600C0,V
10034,70,8,"2021-02-05 10:26:52-05",-79.842297,-2.072561,3.335,2,1.667,0101000020E61000003621AD31E8F553C06FB88FDC9A9400C0,E
4451,44,523,"2021-02-03 08:26:53-05",-79.833239,-2.068114,5.198,1.992,2.609,0101000020E61000001DB0ABC953F553C0AD32535A7F8B00C0,V
27133,375,219,"2021-03-12 11:17:01-05",-79.911334,-2.238865,25.858,2.062,12.54,0101000020E6100000E76ED74B53FA53C0B745990D32E901C0,V
34301,142,466,"2021-02-01 08:41:39.283-05",-79.850287,-2.07441,1.493,2.009,0.743,0101000020E6100000B14D2A1A6BF653C07FF62345649800C0,V
77397,178,326,"2021-02-01 08:41:33.97-05",-79.832895,-2.068292,10.565,1.994,5.298,0101000020E61000001F80D4264EF553C0A1A014ADDC8B00C0,V
7804,64,218,"2021-02-04 08:05:21-05",-79.868384,-2.07388,40.499,1.995,20.3,0101000020E6100000A9177C9A93F753C0BAA0BE654E9700C0,V
56578,160,1125,"2021-02-01 08:42:04.744-05",-79.895139,-2.167352,16.577,2.013,8.235,0101000020E6100000F29716F549F953C08E5C37A5BC5601C0,V
24437,134,210,"2021-02-01 08:41:29.308-05",-79.891384,-2.132809,18.624,1.969,9.459,0101000020E61000005F0B7A6F0CF953C06CEA3C2AFE0F01C0,V
28272,137,442,"2021-02-01 08:41:38.381-05",-79.845257,-2.073709,27.22,2,13.61,0101000020E6100000C4EDD0B018F653C0EE5D83BEF49600C0,V
91366,189,1084,"2021-02-01 08:42:02.936-05",-79.892225,-2.16545,25.948,1.994,13.013,0101000020E61000001CEBE2361AF953C050FC1873D75201C0,V
23676,360,604,"2021-03-12 08:44:39-05",-79.895748,-2.196077,3.716,1.999,1.859,0101000020E6100000465D6BEF53F953C07AFB73D1909101C0,C
118125,212,220,"2021-02-01 08:41:29.887-05",-79.892057,-2.131662,5.767,2.009,2.871,0101000020E6100000BE4A3E7617F953C0F30181CEA40D01C0,V
117052,211,348,"2021-02-01 08:41:34.794-05",-79.833677,-2.068487,27.801,1.997,13.921,0101000020E61000005A9BC6F65AF553C0F69B89E9428C00C0,V
13165,258,112,"2021-02-24 06:06:57-05",-79.94875,-2.8498484,1,1,1,0101000020E61000001F85EB51B8FC53C03411363CBDB200C0,V
19498,340,335,"2021-03-12 05:09:58-05",-79.904056,-2.199632,52.183,46.253,1.128,0101000020E61000002A70B20DDCF953C06DE179A9D89801C0,C
51518,156,869,"2021-02-01 08:41:54.812-05",-79.886024,-2.129087,15.422,2.001,7.707,0101000020E610000027DE019EB4F853C0C4B5DAC35E0801C0,V
87203,186,524,"2021-02-01 08:41:41.496-05",-79.865747,-2.074144,46.386,1.999,23.204,0101000020E61000000CE71A6668F753C0978E39CFD89700C0,V
39208,146,569,"2021-02-01 08:41:43.177-05",-79.873879,-2.074722,35.582,1.998,17.808,0101000020E6100000516A2FA2EDF753C06D5512D9079900C0,V
62173,165,715,"2021-02-01 08:41:48.877-05",-79.870354,-2.113549,32.865,2.012,16.334,0101000020E6100000577C43E1B3F753C0B2F2CB608CE800C0,V
35694,392,668,"2021-03-20 03:49:00-05",-79.948625,-2.162737,41.747,2.005,20.821,0101000020E6100000C1CAA145B6FC53C010CB660E494D01C0,V
91954,190,471,"2021-02-01 08:41:39.472-05",-79.850467,-2.074472,22.763,1.994,11.416,0101000020E6100000F1D4230D6EF653C0E0BDA3C6849800C0,V
10384,70,358,"2021-02-05 10:26:52-05",-79.861462,-2.154319,35.604,1.993,17.864,0101000020E6100000CB2F833122F753C01E3691990B3C01C0,E
73971,175,503,"2021-02-01 08:41:40.71-05",-79.858262,-2.075677,38.638,2.001,19.309,0101000020E61000009259BDC3EDF653C0A379008BFC9A00C0,V
12418,124,201,"2021-02-01 08:41:28.971-05",-79.89043,-2.13319,17.602,1.998,8.81,0101000020E610000025581CCEFCF853C0E23B31EBC51001C0,V
16870,329,47,"2021-03-12 02:59:25-05",-79.833692,-2.067714,15.947,2.015,7.914,0101000020E6100000F5BBB0355BF553C0CBD93BA3AD8A00C0,V
31593,140,160,"2021-02-01 08:41:27.305-05",-79.885117,-2.128789,12.535,1.974,6.35,0101000020E61000008D08C6C1A5F853C025ADF886C20701C0,V
127279,219,967,"2021-02-01 08:41:58.553-05",-79.884349,-2.143701,1.657,1.968,0.842,0101000020E610000005508C2C99F853C05038BBB54C2601C0,V
51107,156,458,"2021-02-01 08:41:38.973-05",-79.84818,-2.074094,30.5,1.999,15.257,0101000020E6100000C347C49448F653C07BA35698BE9700C0,V
43897,150,454,"2021-02-01 08:41:38.825-05",-79.847029,-2.073967,31.334,1.995,15.706,0101000020E6100000DF701FB935F653C0A9DDAF027C9700C0,V
74042,175,574,"2021-02-01 08:41:43.363-05",-79.873872,-2.0764,40.977,1.994,20.55,0101000020E6100000F838D384EDF753C0B1506B9A779C00C0,V
65572,168,511,"2021-02-01 08:41:41.011-05",-79.860792,-2.075319,40.519,2.005,20.208,0101000020E6100000242A543717F753C0AF230ED9409A00C0,V
102004,198,913,"2021-02-01 08:41:56.465-05",-79.882519,-2.133049,9.012,1.992,4.524,0101000020E610000050C6F8307BF853C0C11F7EFE7B1001C0,V
