id_det_tra,id_trayectoria,orden,fecha,longitud,latitud,distancia,duracion,velocidad,coordenadas,tipo_coordenada
30624,139,392,"2021-02-01 08:41:36.447-05",-79.837844,-2.072606,32.584,2.001,16.284,0101000020E610000097C9703C9FF553C06FF25B74B29400C0,V
17250,128,229,"2021-02-01 08:41:30.246-05",-79.893189,-2.132259,21.966,2.001,10.977,0101000020E6100000680932022AF953C035D07CCEDD0E01C0,V
43399,149,1157,"2021-02-01 08:42:06.042-05",-79.895484,-2.164419,18.113,2.013,8.998,0101000020E6100000D7851F9C4FF953C06BBA9EE8BA5001C0,V
27982,137,152,"2021-02-01 08:41:27.006-05",-79.884307,-2.128264,27.717,1.977,14.02,0101000020E6100000EE27637C98F853C07D08AA46AF0601C0,V
62276,165,818,"2021-02-01 08:41:52.921-05",-79.883784,-2.127844,7.116,2.013,3.535,0101000020E6100000992EC4EA8FF853C029EB3713D30501C0,V
33944,390,100,"2021-03-20 03:00:55-05",-79.856872,-2.074722,32.33,1.999,16.173,0101000020E6100000EB36A8FDD6F653C06D5512D9079900C0,V
65986,168,925,"2021-02-01 08:41:56.909-05",-79.882084,-2.135182,39.23,2.009,19.527,0101000020E6100000CB14731074F853C01F10E84CDA1401C0,V
119376,213,270,"2021-02-01 08:41:31.784-05",-79.895634,-2.132144,4.062,2.007,2.024,0101000020E6100000E2CB441152F953C0A7E67283A10E01C0,V
33583,387,304,"2021-03-15 05:53:35-05",-79.93027,-2.155159,14.122,1.985,7.114,0101000020E6100000CB9C2E8B89FB53C0C5707500C43D01C0,R
89217,188,136,"2021-02-01 08:41:26.276-05",-79.880064,-2.12649,36.667,2.02,18.152,0101000020E6100000C498F4F752F853C0172B6A300D0301C0,V
65811,168,750,"2021-02-01 08:41:50.287-05",-79.866444,-2.122337,32.48,2.008,16.175,0101000020E610000030F488D173F753C0DCB930D28BFA00C0,V
36119,143,1083,"2021-02-01 08:42:02.899-05",-79.892224,-2.165249,24.463,2.005,12.201,0101000020E6100000342DB1321AF953C0DA9255116E5201C0,V
90486,189,204,"2021-02-01 08:41:29.083-05",-79.890975,-2.133139,20.642,2.008,10.28,0101000020E61000006EA301BC05F953C0C093162EAB1001C0,V
23488,361,454,"2021-03-12 08:44:39-05",-79.898711,-2.205814,6.399,2.013,3.179,0101000020E61000008D63247B84F953C0B87878CF81A501C0,C
81895,182,20,"2021-02-01 08:41:21.855-05",-79.873942,-2.099657,40.939,2.007,20.398,0101000020E610000074266DAAEEF753C02F8A1EF818CC00C0,V
49820,155,372,"2021-02-01 08:41:35.698-05",-79.834779,-2.073069,15.671,2.005,7.816,0101000020E6100000CE18E6046DF553C0B7CF2A33A59500C0,V
13773,263,117,"2021-02-24 06:06:57-05",-79.94875,-2.8498484,1,1,1,0101000020E61000001F85EB51B8FC53C03411363CBDB200C0,V
31048,383,317,"2021-03-12 12:14:23-05",-79.897507,-2.17874,18.591,2.009,9.254,0101000020E6100000973B33C170F953C075E5B33C0F6E01C0,C
6837,61,353,"2021-02-04 07:34:53-05",-79.871856,-2.109252,35.867,2.029,17.677,0101000020E610000091B41B7DCCF753C0452E3883BFDF00C0,C
18328,330,22,"2021-03-12 03:02:06-05",-79.895654,-2.164574,4.482,2.009,2.231,0101000020E610000005A2276552F953C0DC2C5E2C0C5101C0,O
34316,391,15,"2021-03-20 03:49:00-05",-79.891112,-2.046732,32.468,1.984,16.365,0101000020E6100000AF44A0FA07F953C0D369DD06B55F00C0,V
121240,214,933,"2021-02-01 08:41:57.204-05",-79.881937,-2.137432,16.346,2.029,8.056,0101000020E61000007808E3A771F853C01764CBF2751901C0,V
44725,151,81,"2021-02-01 08:41:24.166-05",-79.868469,-2.11669,55.234,1.986,27.811,0101000020E6100000C02500FF94F753C07429AE2AFBEE00C0,V
68752,171,88,"2021-02-01 08:41:24.43-05",-79.866941,-2.119492,45.069,1.995,22.591,0101000020E6100000F0A31AF67BF753C0AE11C138B8F400C0,V
112235,207,335,"2021-02-01 08:41:34.312-05",-79.833247,-2.068057,13.004,1.998,6.508,0101000020E61000005E9F39EB53F553C0691CEA77618B00C0,V
21352,351,490,"2021-03-12 07:50:19-05",-79.896038,-2.181308,3.452,1.991,1.734,0101000020E61000004A7EC4AF58F953C07D06D49B517301C0,V
66346,169,84,"2021-02-01 08:41:24.28-05",-79.867744,-2.118009,51.065,2.007,25.443,0101000020E61000003753211E89F753C0BE11DDB3AEF100C0,V
54083,158,1032,"2021-02-01 08:42:00.995-05",-79.886325,-2.154354,30.104,2.005,15.014,0101000020E610000024287E8CB9F853C0E50D30F31D3C01C0,V
31154,139,922,"2021-02-01 08:41:56.798-05",-79.88217,-2.134257,34.212,2.001,17.097,0101000020E6100000CAE0287975F853C094128255F51201C0,V
84214,183,1138,"2021-02-01 08:42:05.325-05",-79.89501,-2.166164,14.497,2.001,7.245,0101000020E6100000F3E505D847F953C02C2E8ECA4D5401C0,V
