coordenadas,id_trayectoria
"(-79.873877,-2.093624)",162
"(-79.895452,-2.163452)",180
"(-79.88575,-2.129482)",59
"(-79.860792,-2.075319)",221
"(-79.894007,-2.167864)",214
"(-79.895536,-2.16437)",318
"(-79.843237,-2.072679)",212
"(-79.873722,-2.090514)",149
"(-79.876142,-2.125974)",203
"(-79.895784,-2.163865)",201
"(-79.87361,-2.088884)",190
"(-79.886635,-2.155077)",168
"(-79.886139,-2.153372)",179
"(-79.858262,-2.075677)",158
"(-79.87375,-2.081027)",134
"(-79.890197,-2.048584)",392
"(-79.833455,-2.06802)",178
"(-79.834779,-2.073069)",160
"(-79.866452,-2.12049)",216
"(-79.893742,-2.132099)",129
"(-79.885038,-2.183681)",326
"(-79.836199,-2.073089)",136
"(-80.07935,-2.21463)",393
"(-80.089514,-2.221979)",394
"(-79.894125,-2.131484)",190
"(-79.850315,-2.074422)",213
"(-79.88606,-2.129394)",151
"(-80.2222,-2.293609)",394
"(-79.887279,-2.156067)",319
"(-79.86917,-2.12396)",195
"(-79.873825,-2.092326)",153
"(-79.885322,-2.129185)",201
"(-79.895067,-2.166577)",183
"(-79.876374,-2.181469)",373
"(-79.833979,-2.070257)",167
"(-79.89222,-2.165904)",227
"(-79.833455,-2.06802)",204
"(-79.882964,-2.127157)",185
"(-79.885184,-2.145275)",155
"(-79.94875,-2.8498484)",255
"(-79.8839,-2.12794)",211
"(-79.89399,-2.186532)",360
"(-79.84453,-2.073477)",140
"(-79.883132,-2.141444)",220
"(-80.197904,-2.287797)",394
"(-79.83355,-2.06796)",203
"(-79.876454,-2.125975)",22
"(-79.888915,-2.159049)",26
"(-79.884979,-2.128744)",329
"(-79.832614,-2.068405)",213
"(-79.887,-2.155677)",167
"(-79.883664,-2.127744)",215
"(-79.898685,-2.158103)",366
"(-79.933421,-2.131716)",386
"(-79.873655,-2.083445)",186
"(-79.872574,-2.106865)",155
"(-79.873615,-2.102377)",148
"(-79.845257,-2.073709)",220
"(-79.886522,-2.154869)",210
"(-79.885644,-2.12882)",194
"(-79.895029,-2.131349)",147
"(-79.895779,-2.163865)",209
"(-79.873699,-2.08224)",167
"(-79.870642,-2.124767)",318
"(-79.884499,-2.128419)",145
"(-79.869379,-2.12406)",179
"(-79.87279,-2.105899)",194
"(-79.888454,-2.131622)",212
"(-79.842877,-2.072515)",122
"(-79.895792,-2.16382)",159
"(-79.88591,-2.129575)",216
"(-79.881065,-2.126624)",223
"(-79.892242,-2.131734)",180
"(-79.888669,-2.131774)",191
"(-79.887125,-2.155874)",183
"(-79.895782,-2.16387)",181
"(-79.872174,-2.125417)",127
"(-79.868765,-2.123679)",211
"(-79.840825,-2.07227)",215
"(-80.082509,-2.217337)",394
"(-80.180349,-2.272964)",394
"(-79.880729,-2.126584)",144
"(-79.873572,-2.08677)",195
"(-79.872657,-2.106271)",180
"(-79.876525,-2.12602)",169
"(-79.874579,-2.125729)",226
"(-79.886745,-2.155269)",179
"(-79.88039,-2.126537)",148
"(-79.872174,-2.125417)",207
"(-79.866379,-2.120522)",133
"(-79.895689,-2.132194)",210
"(-79.870745,-2.073419)",132
"(-79.873789,-2.079269)",135
"(-79.833677,-2.068279)",164
"(-79.873754,-2.08088)",198
"(-79.88441,-2.143752)",67
"(-79.87377,-2.079949)",227
"(-79.89728,-2.182541)",354
"(-79.834755,-2.072997)",152
"(-79.836437,-2.07294)",221
"(-79.870964,-2.112435)",197
"(-79.886124,-2.15261)",38
"(-79.895514,-2.163502)",193
"(-79.895789,-2.16385)",205
"(-79.88621,-2.153854)",144
"(-79.870242,-2.073489)",179
"(-79.884992,-2.128729)",135
"(-79.894689,-2.131207)",127
"(-79.873872,-2.100404)",185
"(-79.89536,-2.183854)",340
"(-79.883669,-2.127749)",218
"(-79.831925,-2.068929)",122
"(-79.883455,-2.127569)",202
"(-79.870662,-2.113)",214
"(-79.869346,-2.115197)",198
"(-79.88441,-2.128357)",216
"(-79.947859,-2.094865)",374
"(-79.918429,-2.170026)",386
"(-79.91428,-2.20309)",357
"(-79.870605,-2.07344)",124
"(-79.876142,-2.125974)",163
"(-79.84291,-2.072552)",207
"(-79.87361,-2.088884)",213
"(-79.871545,-2.1109)",207
"(-79.844514,-2.073464)",208
"(-79.868469,-2.11669)",160
"(-79.884307,-2.128264)",182
"(-79.87385,-2.092972)",213
"(-79.92035,-2.087314)",57
"(-79.896988,-2.199946)",360
"(-79.886545,-2.14917)",176
"(-79.872819,-2.073132)",157
"(-79.884764,-2.129329)",211
"(-79.869919,-2.114324)",211
"(-79.881964,-2.134672)",319
"(-79.873649,-2.089574)",207
"(-79.873674,-2.089895)",128
"(-79.873714,-2.083677)",59
"(-79.883607,-2.127697)",227
"(-79.895497,-2.163477)",226
"(-79.886035,-2.146927)",161
"(-79.873897,-2.093935)",215
"(-79.895459,-2.16373)",216
"(-79.87221,-2.07322)",136
"(-79.873944,-2.096427)",394
"(-79.873625,-2.084885)",149
"(-79.892175,-2.131674)",129
"(-79.873754,-2.08088)",205
"(-79.870859,-2.1125)",210
"(-79.89417,-2.131482)",201
"(-79.858262,-2.075677)",145
"(-79.88564,-2.129429)",221
"(-79.883252,-2.133125)",199
"(-79.874082,-2.098269)",199
"(-79.89258,-2.132032)",183
"(-79.873365,-2.10338)",150
"(-79.833679,-2.067702)",201
"(-79.893287,-2.166945)",153
"(-79.895519,-2.163527)",319
"(-79.882134,-2.139212)",196
"(-79.882544,-2.126365)",318
"(-79.873945,-2.094856)",200
"(-79.861459,-2.075059)",144
"(-80.287717,-2.357214)",393
"(-79.889704,-2.132299)",193
"(-79.884549,-2.128457)",212
"(-79.878442,-2.126274)",188
"(-79.838984,-2.072402)",199
"(-79.861805,-2.074925)",153
"(-79.886357,-2.147955)",136
"(-79.873159,-2.104245)",134
"(-80.145979,-2.25535)",394
"(-79.867399,-2.073899)",140
"(-79.895677,-2.132152)",175
"(-79.88397,-2.127999)",190
"(-79.883955,-2.127987)",130
"(-79.895705,-2.132165)",220
"(-79.881912,-2.13789)",139
"(-79.932836,-2.12924)",387
"(-79.886475,-2.148561)",172
"(-79.87205,-2.125415)",141
"(-79.88214,-2.134549)",154
"(-79.881876,-2.137829)",122
"(-79.886544,-2.149175)",142
"(-79.884549,-2.128457)",186
"(-79.884979,-2.128729)",205
"(-79.88652,-2.148587)",319
"(-79.886532,-2.149032)",170
"(-79.896498,-2.181972)",352
"(-79.879164,-2.126374)",216
"(-79.87035,-2.124634)",126
"(-79.946886,-2.152597)",392
"(-79.94875,-2.8498484)",257
"(-79.895787,-2.16386)",223
"(-79.878834,-2.126259)",319
"(-79.873629,-2.084364)",132
"(-79.871194,-2.11222)",64
"(-79.870459,-2.124719)",137
"(-79.888945,-2.131786)",179
"(-79.889917,-2.13285)",149
"(-79.873572,-2.08677)",143
"(-79.873159,-2.104245)",155
"(-79.873937,-2.095549)",210
"(-79.897026,-2.185305)",361
"(-79.867744,-2.118009)",208
"(-79.867383,-2.021007)",326
"(-79.868839,-2.1162)",202
"(-79.89483,-2.167916)",191
"(-79.838295,-2.072496)",329
"(-79.899499,-2.23891)",374
"(-79.895517,-2.163504)",162
"(-79.856832,-2.074724)",188
"(-79.921917,-2.075109)",391
"(-79.833719,-2.069284)",329
"(-79.841792,-2.071989)",153
"(-79.893815,-2.167842)",208
"(-79.864492,-2.074306)",123
"(-79.923863,-2.199324)",371
"(-79.84873,-2.074151)",201
"(-79.89417,-2.131164)",193
"(-79.895432,-2.164514)",137
"(-79.911899,-2.188873)",371
"(-79.895094,-2.166914)",186
"(-79.88435,-2.143702)",183
"(-79.858262,-2.075677)",216
"(-79.868917,-2.115887)",193
"(-79.87386,-2.076772)",206
"(-79.873942,-2.100606)",185
"(-79.895514,-2.163502)",141
"(-79.887945,-2.131212)",143
"(-79.884504,-2.128417)",223
"(-79.894634,-2.13046)",127
"(-79.884945,-2.12871)",202
"(-79.895397,-2.164572)",196
"(-79.882882,-2.051874)",389
"(-79.882214,-2.139489)",133
"(-79.892225,-2.16545)",166
"(-79.873797,-2.073887)",226
"(-79.8697,-2.124249)",194
"(-79.9272103,-2.1228006)",284
"(-79.86669,-2.122455)",195
"(-79.884549,-2.128457)",164
"(-79.895459,-2.16373)",143
"(-79.880392,-2.126534)",165
"(-79.87375,-2.081027)",210
"(-79.89579,-2.163852)",206
"(-79.884207,-2.128194)",222
"(-79.87088,-2.124954)",130
"(-79.883714,-2.133157)",134
"(-79.938307,-2.083587)",375
"(-79.882532,-2.126892)",146
"(-79.850329,-2.074429)",145
"(-79.895002,-2.185902)",351
"(-79.886087,-2.146995)",385
"(-79.873872,-2.100404)",172
"(-79.883714,-2.133157)",220
"(-79.884695,-2.128555)",196
"(-79.837099,-2.072775)",205
"(-79.892182,-2.166705)",151
"(-79.872475,-2.073177)",124
"(-79.878097,-2.126224)",129
"(-79.8892,-2.049255)",392
"(-79.894412,-2.130732)",176
"(-79.873727,-2.081689)",187
"(-79.886657,-2.15502)",328
"(-79.863284,-2.074464)",126
"(-79.870859,-2.1125)",176
"(-79.884695,-2.128555)",158
"(-79.886427,-2.148266)",125
"(-79.872594,-2.106589)",155
"(-79.88492,-2.128695)",178
"(-79.872981,-2.10506)",182
"(-79.872059,-2.108897)",137
"(-79.84095,-2.072269)",26
"(-79.891305,-2.13309)",221
"(-79.873419,-2.103165)",190
"(-79.867873,-2.020686)",326
"(-79.94875,-2.8498484)",261
"(-79.895491,-2.163514)",215
"(-79.897093,-2.179532)",383
"(-79.872069,-2.073237)",185
"(-79.885184,-2.145275)",195
"(-79.873955,-2.09693)",136
"(-79.873625,-2.084885)",139
"(-79.873744,-2.08132)",178
"(-79.891542,-2.132295)",219
"(-79.895002,-2.166022)",144
"(-79.881974,-2.136579)",172
"(-79.884352,-2.143695)",200
"(-79.881955,-2.13687)",161
"(-79.894965,-2.167917)",158
"(-79.886029,-2.129562)",227
"(-79.895787,-2.163855)",199
"(-79.839459,-2.072336)",393
"(-79.895367,-2.164604)",155
"(-79.897644,-2.138822)",394
"(-79.872189,-2.108304)",224
"(-79.833107,-2.068005)",161
"(-79.845165,-2.073697)",394
"(-79.861119,-2.07519)",156
"(-79.88489,-2.129169)",149
"(-79.835136,-2.073274)",199
"(-79.886325,-2.154354)",169
"(-79.833675,-2.068714)",138
"(-79.871912,-2.109234)",138
"(-79.883132,-2.141444)",180
"(-79.863675,-2.074412)",155
"(-79.87221,-2.07322)",191
"(-79.844766,-2.073449)",177
"(-79.895709,-2.163769)",136
"(-79.892029,-2.131675)",204
"(-79.886635,-2.155077)",198
"(-80.175324,-2.272319)",394
"(-79.893035,-2.16683)",131
"(-79.901098,-2.213267)",361
"(-79.881832,-2.138524)",62
"(-79.87394,-2.098506)",64
"(-79.842672,-2.072487)",134
"(-79.900076,-2.210116)",360
"(-79.88796,-2.157434)",132
"(-79.855335,-2.07497)",129
"(-79.884744,-2.128585)",214
"(-79.870859,-2.1125)",133
"(-79.883784,-2.127844)",169
"(-79.873875,-2.077162)",59
"(-79.85205,-2.075652)",210
"(-79.873839,-2.077502)",126
"(-79.848457,-2.074125)",128
