coordenadas,id_trayectoria
"(-79.892219,-2.166789)",188
"(-79.889029,-2.159194)",150
"(-79.882057,-2.138934)",224
"(-79.850795,-2.074675)",165
"(-79.873955,-2.095132)",162
"(-79.878442,-2.126274)",164
"(-79.884949,-2.144914)",219
"(-79.883955,-2.127987)",140
"(-79.89539,-2.131557)",162
"(-79.94875,-2.8498484)",259
"(-79.873599,-2.073074)",136
"(-79.893274,-2.186748)",360
"(-79.882569,-2.140352)",211
"(-79.892515,-2.166835)",219
"(-79.89179,-2.131974)",160
"(-79.866787,-2.11988)",221
"(-79.866857,-2.119722)",394
"(-79.889722,-2.160381)",179
"(-79.882569,-2.140352)",199
"(-79.886357,-2.147955)",225
"(-79.895502,-2.163495)",131
"(-79.892249,-2.164845)",385
"(-79.873872,-2.0764)",183
"(-79.924858,-2.163795)",352
"(-79.834069,-2.070392)",191
"(-79.873789,-2.079269)",131
"(-79.890259,-2.161344)",216
"(-79.895352,-2.164634)",212
"(-79.868995,-2.115925)",133
"(-79.868477,-2.123494)",136
"(-79.882275,-2.13314)",328
"(-79.894852,-2.131975)",172
"(-79.873767,-2.101194)",133
"(-79.886427,-2.148266)",219
"(-79.865747,-2.074144)",135
"(-79.889722,-2.160381)",167
"(-79.884569,-2.128477)",122
"(-79.873759,-2.080704)",155
"(-79.885187,-2.129087)",138
"(-79.882242,-2.1331)",177
"(-79.89221,-2.166137)",193
"(-79.886314,-2.15179)",204
"(-79.86647,-2.122384)",165
"(-79.9269994,-2.1227036)",405
"(-79.891159,-2.133109)",220
"(-79.842672,-2.072487)",185
"(-79.895491,-2.163472)",217
"(-79.832194,-2.068396)",217
"(-79.87385,-2.074427)",213
"(-79.888757,-2.158707)",188
"(-79.886547,-2.149229)",212
"(-79.895182,-2.167702)",68
"(-79.89578,-2.163869)",138
"(-79.895911,-2.185975)",361
"(-79.844514,-2.073464)",132
"(-79.873942,-2.100606)",185
"(-79.858079,-2.075604)",66
"(-79.841477,-2.072035)",223
"(-79.882899,-2.130475)",384
"(-79.88492,-2.128695)",192
"(-79.895677,-2.132152)",131
"(-79.873744,-2.08132)",131
"(-79.83601,-2.073162)",44
"(-79.873964,-2.099289)",160
"(-79.889162,-2.159432)",167
"(-79.885644,-2.12882)",218
"(-79.873624,-2.079514)",34
"(-79.87035,-2.124634)",181
"(-79.84818,-2.074094)",143
"(-79.873539,-2.084291)",63
"(-79.841734,-2.071972)",319
"(-79.912109,-2.218687)",361
"(-79.876144,-2.125934)",202
"(-79.895449,-2.163457)",208
"(-79.881382,-2.126662)",158
"(-79.873914,-2.09806)",65
"(-79.83732,-2.072732)",128
"(-79.947944,-2.116701)",374
"(-79.886581,-2.149087)",329
"(-79.89434,-2.167897)",144
"(-79.873859,-2.093301)",180
"(-79.883654,-2.142387)",129
"(-79.891305,-2.163155)",211
"(-79.89667,-2.199112)",340
"(-79.94875,-2.8498484)",261
"(-79.873655,-2.083449)",160
"(-79.882134,-2.139212)",194
"(-79.828345,-2.18574)",70
"(-79.881382,-2.126662)",146
"(-79.895634,-2.132144)",189
"(-79.892314,-2.167694)",385
"(-79.875807,-2.125889)",189
"(-79.94875,-2.8498484)",258
"(-79.870507,-2.113276)",152
"(-79.832892,-2.068102)",156
"(-79.862165,-2.074792)",201
"(-79.886264,-2.154099)",198
"(-79.834341,-2.071245)",182
"(-79.890702,-2.162168)",379
"(-79.894071,-2.190658)",341
"(-79.874072,-2.097707)",216
"(-79.884949,-2.144914)",138
"(-79.880692,-2.126572)",211
"(-79.889997,-2.160919)",319
"(-79.890779,-2.133167)",211
"(-79.841477,-2.072035)",172
"(-79.834864,-2.073139)",183
"(-79.834427,-2.071494)",170
"(-79.883537,-2.127637)",129
"(-79.833675,-2.068714)",130
"(-79.896137,-2.185887)",360
"(-79.87031,-2.113564)",393
"(-79.884892,-2.128679)",125
"(-79.88291,-2.127147)",59
"(-79.896966,-2.180319)",379
"(-79.88214,-2.134549)",184
"(-79.835755,-2.073231)",210
"(-79.833455,-2.06802)",182
"(-79.89501,-2.166164)",156
"(-79.94875,-2.8498484)",18
"(-79.88545,-2.129286)",161
"(-79.902414,-2.163969)",374
"(-79.873854,-2.074345)",394
"(-79.946967,-2.179467)",392
"(-79.866007,-2.121319)",144
"(-79.883749,-2.13299)",143
"(-79.891669,-2.132129)",168
"(-79.866167,-2.07408)",187
"(-79.894529,-2.167914)",145
"(-79.894984,-2.193682)",340
"(-79.895782,-2.16387)",203
