coordenadas,id_trayectoria
"(-79.873539,-2.102401)",130
"(-79.873767,-2.101194)",183
"(-79.886049,-2.12958)",384
"(-79.87393,-2.094564)",201
"(-79.871744,-2.110204)",139
"(-79.894924,-2.130082)",161
"(-79.87845,-2.126277)",146
"(-79.895562,-2.131689)",224
"(-79.842074,-2.072145)",68
"(-79.873789,-2.079269)",185
"(-79.94853,-2.162999)",391
"(-79.886362,-2.129889)",175
"(-79.835755,-2.073231)",141
"(-79.894622,-2.167922)",126
"(-79.866614,-2.120182)",146
"(-79.898631,-2.173149)",383
"(-79.8673,-2.118947)",183
"(-80.265285,-2.330912)",394
"(-79.865907,-2.122004)",157
"(-79.895677,-2.132152)",174
"(-79.869137,-2.11553)",173
"(-79.886362,-2.129889)",167
"(-79.893567,-2.132187)",144
"(-79.873254,-2.103774)",189
"(-79.893857,-2.186007)",341
"(-79.894611,-2.170903)",362
"(-79.92942,-2.197068)",376
"(-79.884994,-2.129062)",140
"(-79.883252,-2.133125)",173
"(-79.895002,-2.166022)",217
"(-79.878084,-2.126227)",163
"(-79.873665,-2.078409)",34
"(-79.892075,-2.164394)",144
"(-79.88326,-2.14168)",148
"(-79.884284,-2.143469)",319
"(-79.893287,-2.187536)",357
"(-79.896713,-2.18573)",361
"(-79.873837,-2.095636)",136
"(-79.87385,-2.074427)",154
"(-79.832935,-2.067944)",176
"(-80.313537,-2.372184)",394
"(-79.890535,-2.048209)",392
"(-79.864492,-2.074306)",185
"(-79.881065,-2.126624)",214
"(-79.897062,-2.200288)",361
"(-79.874054,-2.099536)",198
"(-79.886024,-2.129087)",223
"(-79.897398,-2.184265)",368
"(-79.895552,-2.1643)",213
"(-79.871487,-2.11092)",222
"(-79.885417,-2.128827)",167
"(-79.88494,-2.144902)",200
"(-79.891447,-2.132474)",154
"(-79.873982,-2.095679)",142
"(-79.946695,-2.179292)",375
"(-79.866787,-2.11988)",198
"(-79.871665,-2.110267)",180
"(-79.882077,-2.131134)",61
"(-79.870111,-2.113872)",214
"(-79.835755,-2.073231)",156
"(-79.895787,-2.16386)",200
"(-79.8887,-2.158615)",318
"(-79.877702,-2.126176)",130
"(-79.834685,-2.072267)",130
"(-79.838424,-2.072492)",217
"(-79.895692,-2.132196)",137
"(-79.886865,-2.155469)",141
"(-79.895244,-2.132484)",124
"(-79.885364,-2.145612)",208
"(-79.893815,-2.167842)",22
"(-79.884695,-2.128555)",178
"(-79.873937,-2.095549)",138
"(-79.891447,-2.132474)",193
"(-79.865787,-2.121737)",215
"(-79.870495,-2.113179)",186
"(-79.87237,-2.107532)",123
"(-79.859902,-2.075675)",68
"(-79.861119,-2.07519)",131
"(-79.845992,-2.073864)",139
"(-79.87067,-2.124824)",181
"(-79.895432,-2.164514)",176
"(-79.868384,-2.123505)",204
"(-79.884095,-2.128101)",128
"(-79.943527,-2.084499)",375
"(-79.868995,-2.115925)",147
"(-79.894696,-2.171145)",362
"(-79.892224,-2.16567)",137
"(-80.249927,-2.313502)",394
"(-79.87279,-2.105899)",173
"(-79.893254,-2.167484)",161
"(-79.900009,-2.244802)",347
"(-79.834427,-2.071494)",124
"(-79.870111,-2.113872)",217
"(-79.88339,-2.127514)",167
"(-79.871209,-2.111845)",174
"(-79.872544,-2.106849)",178
"(-79.893071,-2.167744)",68
"(-79.889849,-2.243185)",375
"(-79.88624,-2.152215)",197
"(-79.874054,-2.099536)",126
"(-79.838424,-2.072492)",131
"(-79.873794,-2.078927)",173
"(-79.873649,-2.089574)",140
"(-79.89572,-2.132154)",215
"(-79.883749,-2.13299)",186
"(-79.870027,-2.124439)",160
"(-79.89542,-2.129479)",125
"(-79.875432,-2.125839)",212
"(-79.874995,-2.125815)",197
