coordenadas,id_trayectoria
"(-79.920285,-2.087324)",260
"(-80.260129,-2.321564)",393
"(-79.865967,-2.121414)",393
"(-79.881894,-2.137495)",122
"(-79.93116,-2.123944)",387
"(-79.920067,-2.195542)",341
"(-79.947705,-2.085022)",374
"(-79.94773,-2.106887)",375
"(-79.94875,-2.8498484)",261
"(-79.873854,-2.074345)",394
"(-79.896991,-2.151529)",367
"(-79.933367,-2.115475)",387
"(-79.915179,-2.052072)",392
"(-79.891515,-2.04503)",390
"(-79.89774,-2.191274)",370
"(-79.94875,-2.8498484)",240
"(-79.893662,-2.167867)",328
"(-79.841355,-2.072252)",328
"(-79.895482,-2.164444)",329
"(-79.881947,-2.138207)",329
"(-79.897059,-2.156968)",367
"(-79.929065,-2.195808)",377
"(-79.947999,-2.11526)",391
"(-79.895425,-2.195043)",340
"(-79.882954,-2.120136)",379
"(-79.883757,-2.14241)",384
"(-79.8726,-2.10684)",329
"(-80.189119,-2.282889)",393
"(-79.943527,-2.084499)",374
"(-80.315282,-2.372917)",393
"(-79.89387,-2.186572)",361
"(-79.891864,-2.174193)",379
"(-79.896555,-2.181127)",331
"(-79.908031,-2.111862)",382
"(-79.871194,-2.073352)",394
"(-79.851164,-2.07498)",318
"(-79.833689,-2.067922)",385
"(-79.891482,-2.045149)",392
"(-79.93878,-2.082732)",375
"(-80.238126,-2.303714)",393
"(-79.931492,-2.151438)",387
"(-79.883347,-2.127417)",328
"(-79.946912,-2.152946)",375
"(-80.368444,-2.403261)",394
"(-79.926174,-2.194009)",340
"(-79.83486,-2.0731)",385
"(-79.8817,-2.183846)",373
"(-79.901859,-2.1659)",374
"(-79.889752,-2.050679)",391
"(-79.886589,-2.149285)",318
"(-80.260269,-2.321937)",393
"(-79.893377,-2.18842)",360
"(-79.895727,-2.195912)",361
"(-79.867561,-2.020766)",326
"(-79.88611,-2.129255)",394
"(-79.90312,-2.238915)",374
"(-80.216509,-2.292854)",393
"(-79.873667,-2.073074)",384
"(-79.895751,-2.186054)",360
"(-79.903935,-2.188482)",371
"(-79.897032,-2.18539)",360
"(-79.897328,-2.182626)",352
"(-79.894061,-2.190625)",340
"(-79.89878,-2.252759)",347
"(-79.920292,-2.087324)",260
"(-79.895502,-2.183465)",351
"(-79.894333,-2.186424)",361
"(-79.87273,-2.073069)",121
"(-79.885947,-2.146515)",329
"(-79.908159,-2.204721)",356
"(-79.89314,-2.18479)",371
"(-79.948524,-2.120507)",374
"(-79.857125,-2.074821)",319
"(-79.905359,-2.151542)",374
"(-79.897824,-2.176991)",332
"(-79.922446,-2.194966)",341
"(-79.94056,-2.082824)",375
"(-79.90455,-2.159052)",374
"(-79.938658,-2.214615)",341
"(-79.897245,-2.182511)",355
"(-79.895529,-2.181877)",351
"(-79.894766,-2.186278)",361
"(-79.903219,-2.168619)",374
"(-79.915909,-2.052784)",391
"(-79.8970839,-2.1824209)",335
"(-79.895598,-2.183065)",370
"(-79.831914,-2.068419)",121
"(-79.94875,-2.8498484)",261
"(-79.896915,-2.182183)",351
"(-79.895478,-2.183337)",371
"(-79.897146,-2.168595)",383
"(-79.902642,-2.200024)",341
"(-79.916815,-2.171949)",387
"(-79.856567,-2.074632)",329
"(-79.932424,-2.079152)",392
"(-79.94875,-2.8498484)",258
"(-79.895559,-2.18767)",352
"(-80.258445,-2.316587)",393
"(-79.904189,-2.161564)",375
"(-80.137639,-2.251527)",393
"(-79.895565,-2.183297)",352
"(-79.900597,-2.200385)",341
"(-79.897582,-2.202027)",360
"(-79.895686,-2.18194)",352
"(-79.94875,-2.8498484)",263
"(-79.8964287,-2.1814595)",308
"(-79.833697,-2.06949)",394
"(-79.920645,-2.087525)",111
"(-79.8984542,-2.1824197)",338
"(-79.917449,-2.196244)",340
"(-80.108949,-2.234114)",394
"(-79.946157,-2.150121)",391
"(-79.94875,-2.8498484)",258
"(-80.148587,-2.257772)",394
"(-79.895043,-2.181735)",352
"(-79.873692,-2.081899)",318
"(-79.882365,-2.125529)",319
"(-79.94875,-2.8498484)",241
"(-79.897049,-2.180395)",367
"(-79.879604,-2.126425)",122
"(-79.873704,-2.090001)",384
"(-79.893368,-2.188292)",370
"(-79.873607,-2.087672)",385
"(-79.872547,-2.12549)",329
"(-79.882997,-2.117617)",319
"(-79.851614,-2.075397)",384
"(-80.330735,-2.376199)",393
"(-79.873869,-2.078279)",122
"(-79.918859,-2.218426)",361
"(-79.94875,-2.8498484)",252
"(-79.949192,-2.123475)",375
"(-79.920259,-2.239685)",374
"(-79.894989,-2.136864)",394
"(-79.918662,-2.195909)",340
"(-79.926174,-2.194009)",341
"(-79.900613,-2.211701)",360
"(-79.886449,-2.148181)",319
"(-80.105972,-2.232907)",393
"(-80.12703,-2.247766)",394
"(-80.114529,-2.236905)",393
"(-79.873569,-2.087554)",328
"(-79.927983,-2.160689)",386
"(-79.88688,-2.155409)",319
"(-79.896988,-2.185458)",360
"(-79.900053,-2.210115)",361
"(-79.910236,-2.218895)",361
"(-79.896783,-2.185709)",361
"(-79.89478,-2.181771)",351
"(-79.947291,-2.15369)",392
"(-79.8963771,-2.18186)",312
"(-79.892157,-2.16447)",319
"(-79.863219,-2.133569)",326
"(-79.8984542,-2.1772747)",336
"(-79.895009,-2.165944)",384
"(-79.872749,-2.125489)",122
"(-79.87388,-2.07682)",329
"(-79.904893,-2.221124)",361
"(-79.871969,-2.109119)",394
"(-79.968515,-2.131926)",369
"(-79.928518,-2.159474)",387
"(-80.364717,-2.402346)",394
"(-79.926175,-2.237887)",375
"(-79.8984542,-2.1772747)",336
"(-79.94875,-2.8498484)",93
"(-79.949662,-2.184502)",375
"(-79.930763,-2.193347)",341
"(-79.94875,-2.8498484)",263
"(-79.894121,-2.190984)",370
"(-79.895276,-2.186117)",361
"(-79.895362,-2.137149)",393
"(-79.916095,-2.21888)",360
"(-79.836437,-2.072899)",328
"(-79.898164,-2.09057)",379
"(-79.904212,-2.172491)",374
"(-79.899535,-2.207097)",357
"(-79.882914,-2.119024)",318
"(-79.94848,-2.118014)",392
"(-79.895012,-2.185895)",351
"(-79.94875,-2.8498484)",263
"(-79.946879,-2.17968)",375
"(-79.852412,-2.075689)",122
"(-79.863586,-2.139389)",326
"(-79.968385,-2.131876)",369
"(-79.8984542,-2.1772747)",336
"(-79.894048,-2.190537)",341
"(-79.8984542,-2.1824197)",338
"(-80.089379,-2.221875)",393
"(-79.895119,-2.166916)",328
"(-79.859569,-2.075817)",329
"(-79.905997,-2.188184)",371
"(-79.892197,-2.164597)",319
"(-79.925462,-2.212156)",356
"(-79.873717,-2.07314)",384
"(-79.834082,-2.070397)",393
"(-79.894744,-2.184244)",370
"(-79.873649,-2.08425)",328
"(-79.87357,-2.088332)",393
"(-79.895515,-2.163509)",319
"(-79.976777,-2.183627)",392
"(-79.894374,-2.092157)",379
"(-79.84288,-2.072494)",390
"(-79.94875,-2.8498484)",255
"(-79.898062,-2.161912)",383
"(-79.895654,-2.183124)",352
"(-79.919011,-2.218274)",360
"(-79.873954,-2.095225)",384
"(-80.084742,-2.218807)",394
"(-79.909039,-2.188568)",370
"(-79.881959,-2.138101)",379
"(-79.94875,-2.8498484)",261
"(-79.94875,-2.8498484)",262
"(-79.894553,-2.186336)",361
"(-79.94875,-2.8498484)",98
"(-79.94782,-2.097542)",375
"(-79.865372,-2.151045)",327
"(-79.884042,-2.128035)",121
"(-79.873013,-2.104593)",326
